Filename,Size,Running Time (No Split)
DSC05466,1241x912,1.1852049827575684
DSC06218,2000x1125,0.6912314891815186
DSC06219,2000x1125,0.5817985534667969
DSC06220,1957x1304,0.85263991355896
DSC06221,2000x1125,0.7142746448516846
DSC06224,2000x1125,0.7206707000732422
DSC06227,1908x1272,1.3235642910003662
DSC06228,1461x822,0.938528299331665
DSC06229,1125x2000,0.6481876373291016
DSC06230,1125x2000,0.6084733009338379
DSC06231,1125x2000,0.6419522762298584
DSC06232,2000x1125,0.6626427173614502
DSC06233,2000x1125,1.1590642929077148
DSC06234,2000x1125,0.8366963863372803
DSC06235,2000x1125,0.6526107788085938
DSC06236,2000x1125,0.6748149394989014
DSC06237,2000x1125,0.7410233020782471
DSC06238,2000x1125,0.829500675201416
DSC06239,2000x1125,0.994492769241333
DSC06240,2000x1125,0.884131669998169
DSC06241,2000x1125,1.6437275409698486
DSC06243,1885x1256,0.9022493362426758
DSC06244,2000x1125,1.4685783386230469
DSC06245,2000x1125,2.0275251865386963
DSC06246,2000x1125,2.5057811737060547
DSC06247,889x1581,0.6741039752960205
DSC06248,1222x687,1.6888349056243896
DSC06249,2000x1125,1.5898511409759521
DSC06250,2000x1125,0.862811803817749
DSC06251,2000x1125,1.316316843032837
DSC06252,2000x1125,0.8260431289672852
DSC06253,2000x1125,0.5164391994476318
DSC06254,2000x1125,0.5970122814178467
DSC06255,2000x1125,0.5016119480133057
DSC06256,2000x1125,0.6363308429718018
DSC06257,2000x1125,0.5166637897491455
DSC06258,1842x1228,1.6686186790466309
DSC06259,2000x1333,3.342137575149536
DSC06260,2000x1125,4.19003438949585
DSC06261,2000x1125,3.4756669998168945
DSC06262,1125x2000,4.472510576248169
DSC06263,2000x1125,2.024531364440918
DSC06264,2000x1125,4.168267726898193
DSC06265,2000x1125,4.488115310668945
DSC06266,2000x1125,2.5199763774871826
DSC06268,2000x1125,1.4241654872894287
DSC06269,2000x1125,0.9435372352600098
DSC06270,2000x1125,1.4080231189727783
DSC06271,2000x1125,3.4911327362060547
DSC06275,2000x1125,1.5647194385528564
DSC06276,2000x1125,0.8366549015045166
DSC06277,2000x1125,0.7729074954986572
DSC06279,2000x1125,1.8761839866638184
DSC06280,2000x1125,5.5193705558776855
DSC06281,2000x1125,0.8604862689971924
DSC06282,2000x1125,1.3991491794586182
DSC06283,2000x1125,0.394803524017334
DSC06284,2000x1125,2.7996904850006104
DSC06285,2000x1125,1.0746135711669922
DSC06288,2000x1125,2.026604652404785
DSC06289,2000x1125,1.6072027683258057
DSC06290,2000x1125,1.594848394393921
DSC06291,2000x1125,1.9548733234405518
DSC06292,2000x1125,1.3518478870391846
DSC06293,2000x1125,0.7878596782684326
DSC06294,2000x1125,1.0752949714660645
DSC06295,2000x1125,3.9521777629852295
DSC06297,2000x1125,1.420989751815796
DSC06298,2000x1125,0.9612503051757812
DSC06300,2000x1125,0.8196618556976318
DSC06302,2000x1125,5.672757625579834
DSC06303,1125x2000,1.3914923667907715
DSC06305,2000x1125,0.8103389739990234
DSC06306,2000x1125,0.9139080047607422
DSC06307,2000x1125,2.0143654346466064
DSC06309,2000x1125,1.1530025005340576
DSC06311,2000x1125,0.8642795085906982
DSC06312,2000x1125,1.1371760368347168
DSC06314,1125x2000,2.4578440189361572
DSC06315,1125x2000,5.907490253448486
DSC06316,1125x2000,2.0422451496124268
DSC06317,1125x2000,2.075639486312866
DSC06318,2000x1125,1.0324203968048096
DSC06319,2000x1125,0.9138720035552979
DSC06320,2000x1125,0.6512939929962158
DSC06321,2000x1125,1.2510364055633545
DSC06323,1125x2000,1.4064178466796875
DSC06324,1125x2000,1.060683250427246
DSC06325,1125x2000,0.9403958320617676
DSC06326,1125x2000,0.8552389144897461
DSC06328,1820x1213,1.4532983303070068
DSC06330,1703x1135,1.8690743446350098
DSC06331,1920x1280,0.8326008319854736
DSC06333,2000x1125,0.8188776969909668
DSC06334,2000x1125,1.234461784362793
DSC06336,2000x1125,0.9155733585357666
DSC06338,2000x1125,0.9082326889038086
DSC06340,2000x1125,0.9294924736022949
DSC06342,2000x1125,0.9457659721374512
DSC06343,2000x1125,1.2710485458374023
DSC06344,2000x1125,1.0445277690887451
DSC06345,2000x1125,1.3579492568969727
DSC06346,2000x1125,2.2440297603607178
DSC06347,2000x1125,2.699880599975586
DSC06349,2000x1125,0.8318653106689453
DSC06350,2000x1125,0.7838578224182129
DSC06351,2000x1125,1.4305284023284912
DSC06354,2000x1125,0.9543683528900146
DSC06355,1125x2000,4.185909748077393
DSC06357,1125x2000,1.36867094039917
DSC06359,2000x1125,0.9015064239501953
DSC06362,2000x1125,1.7429368495941162
DSC06363,2000x1125,0.6620266437530518
DSC06364,2000x1125,1.005079984664917
DSC06365,2000x1125,0.892204761505127
DSC06367,2000x1125,3.001216173171997
DSC06368,2000x1125,2.485175132751465
DSC06369,2000x1125,1.4398267269134521
DSC06370,2000x1125,1.8212299346923828
DSC06371,2000x1125,1.95485520362854
